ts_level,ts_label,timeslice_id,season_code,tod_code,n_seasons,n_tod_blocks,months,hours_1indexed,n_hours_per_day,n_days_in_season,annual_hours,fraction_of_year
ts_72,TS72,S3_H08,S3,H08,6,12,"[4, 5]","[14, 15]",2,61,122,0.013927
ts_72,TS72,S3_H09,S3,H09,6,12,"[4, 5]","[16, 17]",2,61,122,0.013927
ts_72,TS72,S3_H10,S3,H10,6,12,"[4, 5]",[18],1,61,61,0.006963
ts_72,TS72,S3_H11,S3,H11,6,12,"[4, 5]",[19],1,61,61,0.006963
ts_72,TS72,S3_H12,S3,H12,6,12,"[4, 5]","[20, 21]",2,61,122,0.013927
ts_72,TS72,S4_H01,S4,H01,6,12,"[6, 7]","[1, 2, 3, 22, 23, 24]",6,61,366,0.041781
ts_72,TS72,S4_H02,S4,H02,6,12,"[6, 7]","[4, 5, 6]",3,61,183,0.02089
ts_72,TS72,S4_H03,S4,H03,6,12,"[6, 7]",[7],1,61,61,0.006963
ts_72,TS72,S4_H04,S4,H04,6,12,"[6, 7]",[8],1,61,61,0.006963
ts_72,TS72,S4_H05,S4,H05,6,12,"[6, 7]",[9],1,61,61,0.006963
ts_72,TS72,S4_H06,S4,H06,6,12,"[6, 7]","[10, 11]",2,61,122,0.013927
ts_72,TS72,S4_H07,S4,H07,6,12,"[6, 7]","[12, 13]",2,61,122,0.013927
ts_72,TS72,S4_H08,S4,H08,6,12,"[6, 7]","[14, 15]",2,61,122,0.013927
ts_72,TS72,S4_H09,S4,H09,6,12,"[6, 7]","[16, 17]",2,61,122,0.013927
ts_72,TS72,S4_H10,S4,H10,6,12,"[6, 7]",[18],1,61,61,0.006963
ts_72,TS72,S4_H11,S4,H11,6,12,"[6, 7]",[19],1,61,61,0.006963
ts_72,TS72,S4_H12,S4,H12,6,12,"[6, 7]","[20, 21]",2,61,122,0.013927
ts_72,TS72,S5_H01,S5,H01,6,12,"[8, 9]","[1, 2, 3, 22, 23, 24]",6,61,366,0.041781
ts_72,TS72,S5_H02,S5,H02,6,12,"[8, 9]","[4, 5, 6]",3,61,183,0.02089
ts_72,TS72,S5_H03,S5,H03,6,12,"[8, 9]",[7],1,61,61,0.006963
ts_72,TS72,S5_H04,S5,H04,6,12,"[8, 9]",[8],1,61,61,0.006963
ts_72,TS72,S5_H05,S5,H05,6,12,"[8, 9]",[9],1,61,61,0.006963
ts_72,TS72,S5_H06,S5,H06,6,12,"[8, 9]","[10, 11]",2,61,122,0.013927
ts_72,TS72,S5_H07,S5,H07,6,12,"[8, 9]","[12, 13]",2,61,122,0.013927
ts_72,TS72,S5_H08,S5,H08,6,12,"[8, 9]","[14, 15]",2,61,122,0.013927
ts_72,TS72,S5_H09,S5,H09,6,12,"[8, 9]","[16, 17]",2,61,122,0.013927
ts_72,TS72,S5_H10,S5,H10,6,12,"[8, 9]",[18],1,61,61,0.006963
ts_72,TS72,S5_H11,S5,H11,6,12,"[8, 9]",[19],1,61,61,0.006963
ts_72,TS72,S5_H12,S5,H12,6,12,"[8, 9]","[20, 21]",2,61,122,0.013927
ts_72,TS72,S6_H01,S6,H01,6,12,"[10, 11]","[1, 2, 3, 22, 23, 24]",6,61,366,0.041781
ts_72,TS72,S6_H02,S6,H02,6,12,"[10, 11]","[4, 5, 6]",3,61,183,0.02089
ts_72,TS72,S6_H03,S6,H03,6,12,"[10, 11]",[7],1,61,61,0.006963
ts_72,TS72,S6_H04,S6,H04,6,12,"[10, 11]",[8],1,61,61,0.006963
ts_72,TS72,S6_H05,S6,H05,6,12,"[10, 11]",[9],1,61,61,0.006963
ts_72,TS72,S6_H06,S6,H06,6,12,"[10, 11]","[10, 11]",2,61,122,0.013927
ts_72,TS72,S6_H07,S6,H07,6,12,"[10, 11]","[12, 13]",2,61,122,0.013927
ts_72,TS72,S6_H08,S6,H08,6,12,"[10, 11]","[14, 15]",2,61,122,0.013927
ts_72,TS72,S6_H09,S6,H09,6,12,"[10, 11]","[16, 17]",2,61,122,0.013927
ts_72,TS72,S6_H10,S6,H10,6,12,"[10, 11]",[18],1,61,61,0.006963
ts_72,TS72,S6_H11,S6,H11,6,12,"[10, 11]",[19],1,61,61,0.006963
ts_72,TS72,S6_H12,S6,H12,6,12,"[10, 11]","[20, 21]",2,61,122,0.013927
