technology,iea_region,year,capex_lo,capex_mid,capex_hi,fixed_om,efficiency,capacity_factor,unit
en_biomass_cofiring,ieapg_european_union,2030,575.0,575.0,575.0,20.0,0.37,0.6,USD2022/kW
en_biomass_cofiring,ieapg_european_union,2050,575.0,575.0,575.0,20.0,0.37,0.6,USD2022/kW
en_biomass_cofiring,ieapg_india,2022,550.0,550.0,550.0,20.0,0.37,0.6,USD2022/kW
en_biomass_cofiring,ieapg_india,2030,550.0,550.0,550.0,20.0,0.37,0.6,USD2022/kW
en_biomass_cofiring,ieapg_india,2050,525.0,525.0,525.0,20.0,0.37,0.6,USD2022/kW
en_biomass_cofiring,ieapg_japan,2022,600.0,600.0,600.0,25.0,0.37,0.8,USD2022/kW
en_biomass_cofiring,ieapg_japan,2030,575.0,575.0,575.0,20.0,0.37,0.8,USD2022/kW
en_biomass_cofiring,ieapg_japan,2050,575.0,575.0,575.0,20.0,0.37,0.8,USD2022/kW
en_biomass_cofiring,ieapg_middle_east,2022,575.0,575.0,575.0,20.0,0.37,0.6,USD2022/kW
en_biomass_cofiring,ieapg_middle_east,2030,550.0,550.0,550.0,20.0,0.37,0.6,USD2022/kW
en_biomass_cofiring,ieapg_middle_east,2050,525.0,525.0,525.0,20.0,0.37,0.6,USD2022/kW
en_biomass_cofiring,ieapg_russia,2022,575.0,575.0,575.0,20.0,0.37,0.6,USD2022/kW
en_biomass_cofiring,ieapg_russia,2030,550.0,550.0,550.0,20.0,0.37,0.6,USD2022/kW
en_biomass_cofiring,ieapg_russia,2050,525.0,525.0,525.0,20.0,0.37,0.6,USD2022/kW
en_biomass_cofiring,ieapg_united_states,2022,625.0,625.0,625.0,25.0,0.37,0.7,USD2022/kW
en_biomass_cofiring,ieapg_united_states,2030,625.0,625.0,625.0,25.0,0.37,0.7,USD2022/kW
en_biomass_cofiring,ieapg_united_states,2050,600.0,600.0,600.0,25.0,0.37,0.7,USD2022/kW
en_coal_ccs,ieapg_africa,2022,4500.0,4500.0,4500.0,175.0,0.32,,USD2022/kW
en_coal_ccs,ieapg_africa,2030,4401.0,4500.0,4599.0,175.0,0.33,,USD2022/kW
en_coal_ccs,ieapg_africa,2050,3482.8,3650.0,3817.2,140.0,0.33,,USD2022/kW
en_coal_ccs,ieapg_brazil,2022,4300.0,4300.0,4300.0,170.0,,,USD2022/kW
en_coal_ccs,ieapg_brazil,2030,4205.4,4300.0,4394.6,170.0,,,USD2022/kW
en_coal_ccs,ieapg_brazil,2050,3387.4,3550.0,3712.6,140.0,,,USD2022/kW
en_coal_ccs,ieapg_china,2022,3400.0,3400.0,3400.0,135.0,0.35,,USD2022/kW
en_coal_ccs,ieapg_china,2030,3325.2,3400.0,3474.8,135.0,0.36,,USD2022/kW
en_coal_ccs,ieapg_china,2050,2433.2,2550.0,2666.8,100.0,0.36,,USD2022/kW
en_coal_ccs,ieapg_european_union,2022,5500.0,5500.0,5500.0,165.0,0.36,,USD2022/kW
en_coal_ccs,ieapg_european_union,2030,5379.0,5500.0,5621.0,165.0,0.37,,USD2022/kW
en_coal_ccs,ieapg_european_union,2050,4293.9,4500.0,4706.1,135.0,0.37,,USD2022/kW
en_coal_ccs,ieapg_india,2022,3900.0,3900.0,3900.0,155.0,0.31,,USD2022/kW
en_coal_ccs,ieapg_india,2030,3814.2,3900.0,3985.8,155.0,0.32,,USD2022/kW
en_coal_ccs,ieapg_india,2050,3005.7,3150.0,3294.3,125.0,0.31,,USD2022/kW
en_coal_ccs,ieapg_japan,2022,5900.0,5900.0,5900.0,175.0,0.36,,USD2022/kW
en_coal_ccs,ieapg_japan,2030,5770.2,5900.0,6029.8,175.0,0.37,,USD2022/kW
en_coal_ccs,ieapg_japan,2050,4675.6,4900.0,5124.4,145.0,0.37,,USD2022/kW
en_coal_ccs,ieapg_middle_east,2022,4500.0,4500.0,4500.0,180.0,,,USD2022/kW
en_coal_ccs,ieapg_middle_east,2030,4401.0,4500.0,4599.0,180.0,,,USD2022/kW
en_coal_ccs,ieapg_middle_east,2050,3482.8,3650.0,3817.2,145.0,,,USD2022/kW
en_coal_ccs,ieapg_russia,2022,5100.0,5100.0,5100.0,180.0,0.36,,USD2022/kW
en_coal_ccs,ieapg_russia,2030,4987.8,5100.0,5212.2,180.0,0.37,,USD2022/kW
en_coal_ccs,ieapg_russia,2050,4007.6,4200.0,4392.4,145.0,0.37,,USD2022/kW
en_coal_ccs,ieapg_united_states,2022,5600.0,5600.0,5600.0,170.0,0.36,,USD2022/kW
en_coal_ccs,ieapg_united_states,2030,5476.8,5600.0,5723.2,170.0,0.37,,USD2022/kW
en_coal_ccs,ieapg_united_states,2050,4246.2,4450.0,4653.8,135.0,0.37,,USD2022/kW
en_coal_igcc,ieapg_africa,2022,2200.0,2200.0,2200.0,90.0,0.4,,USD2022/kW
en_coal_igcc,ieapg_africa,2030,2100.0,2100.0,2100.0,85.0,0.43,,USD2022/kW
en_coal_igcc,ieapg_africa,2050,2100.0,2100.0,2100.0,85.0,0.45,,USD2022/kW
en_coal_igcc,ieapg_brazil,2022,2000.0,2000.0,2000.0,90.0,0.44,,USD2022/kW
en_coal_igcc,ieapg_brazil,2030,1900.0,1900.0,1900.0,85.0,0.47,,USD2022/kW
en_coal_igcc,ieapg_brazil,2050,1900.0,1900.0,1900.0,85.0,0.49,,USD2022/kW
en_coal_igcc,ieapg_china,2022,1100.0,1100.0,1100.0,50.0,0.43,,USD2022/kW
