r10_region,region_label,ar6_category,category_label,year,median_price,q25_price,q75_price,unit,n_scenarios
R10LATIN_AM,Latin America,C7,High-warming weak-policy (reference),2050,0.0,0.0,3.18,USD2010/tCO2,56
R10MIDDLE_EAST,Middle East,C1,"1.5°C, no/limited overshoot",2020,0.74,0.0,5.64,USD2010/tCO2,60
R10MIDDLE_EAST,Middle East,C1,"1.5°C, no/limited overshoot",2025,131.07,101.54,190.02,USD2010/tCO2,60
R10MIDDLE_EAST,Middle East,C1,"1.5°C, no/limited overshoot",2030,197.09,164.67,241.99,USD2010/tCO2,60
R10MIDDLE_EAST,Middle East,C1,"1.5°C, no/limited overshoot",2035,256.63,220.16,396.19,USD2010/tCO2,60
R10MIDDLE_EAST,Middle East,C1,"1.5°C, no/limited overshoot",2040,335.79,287.98,560.56,USD2010/tCO2,60
R10MIDDLE_EAST,Middle East,C1,"1.5°C, no/limited overshoot",2045,460.87,355.81,713.93,USD2010/tCO2,60
R10MIDDLE_EAST,Middle East,C1,"1.5°C, no/limited overshoot",2050,581.75,412.98,771.78,USD2010/tCO2,60
R10MIDDLE_EAST,Middle East,C2,"1.5°C, high overshoot",2020,0.55,0.0,5.35,USD2010/tCO2,86
R10MIDDLE_EAST,Middle East,C2,"1.5°C, high overshoot",2025,21.41,1.26,55.72,USD2010/tCO2,75
R10MIDDLE_EAST,Middle East,C2,"1.5°C, high overshoot",2030,41.97,1.28,77.17,USD2010/tCO2,86
R10MIDDLE_EAST,Middle East,C2,"1.5°C, high overshoot",2035,129.57,87.35,202.85,USD2010/tCO2,75
R10MIDDLE_EAST,Middle East,C2,"1.5°C, high overshoot",2040,165.64,108.54,257.75,USD2010/tCO2,86
R10MIDDLE_EAST,Middle East,C2,"1.5°C, high overshoot",2045,249.21,164.3,345.91,USD2010/tCO2,75
R10MIDDLE_EAST,Middle East,C2,"1.5°C, high overshoot",2050,285.03,195.5,417.87,USD2010/tCO2,86
R10MIDDLE_EAST,Middle East,C3,Likely below 2°C,2020,3.5,0.0,6.33,USD2010/tCO2,192
R10MIDDLE_EAST,Middle East,C3,Likely below 2°C,2025,33.59,0.53,59.63,USD2010/tCO2,169
R10MIDDLE_EAST,Middle East,C3,Likely below 2°C,2030,49.21,19.05,80.62,USD2010/tCO2,192
R10MIDDLE_EAST,Middle East,C3,Likely below 2°C,2035,100.47,72.41,138.58,USD2010/tCO2,169
R10MIDDLE_EAST,Middle East,C3,Likely below 2°C,2040,127.66,96.45,186.44,USD2010/tCO2,192
R10MIDDLE_EAST,Middle East,C3,Likely below 2°C,2045,171.28,120.13,239.45,USD2010/tCO2,169
R10MIDDLE_EAST,Middle East,C3,Likely below 2°C,2050,208.73,147.49,301.21,USD2010/tCO2,192
