demand_variable,r10_region,region_label,ar6_category,category_label,year,median_twh,q25_twh,q75_twh,unit,n_scenarios
elec_buildings,R10LATIN_AM,Latin America,C2,"1.5°C, high overshoot",2040,1625.88,1302.94,1994.06,TWh/yr,97
elec_buildings,R10LATIN_AM,Latin America,C2,"1.5°C, high overshoot",2045,1943.09,1424.74,2345.32,TWh/yr,86
elec_buildings,R10LATIN_AM,Latin America,C2,"1.5°C, high overshoot",2050,2238.94,1732.42,2602.67,TWh/yr,97
elec_buildings,R10LATIN_AM,Latin America,C3,Likely below 2°C,2020,876.09,801.26,963.01,TWh/yr,241
elec_buildings,R10LATIN_AM,Latin America,C3,Likely below 2°C,2025,1035.86,893.01,1189.11,TWh/yr,217
elec_buildings,R10LATIN_AM,Latin America,C3,Likely below 2°C,2030,1252.31,1039.43,1434.36,TWh/yr,241
elec_buildings,R10LATIN_AM,Latin America,C3,Likely below 2°C,2035,1397.02,1179.86,1699.54,TWh/yr,218
elec_buildings,R10LATIN_AM,Latin America,C3,Likely below 2°C,2040,1706.84,1359.46,2018.89,TWh/yr,241
elec_buildings,R10LATIN_AM,Latin America,C3,Likely below 2°C,2045,1969.47,1532.89,2331.91,TWh/yr,218
elec_buildings,R10LATIN_AM,Latin America,C3,Likely below 2°C,2050,2288.67,1769.94,2741.74,TWh/yr,241
elec_buildings,R10LATIN_AM,Latin America,C4,Below 2°C with lower probability,2020,848.59,801.01,876.09,TWh/yr,96
elec_buildings,R10LATIN_AM,Latin America,C4,Below 2°C with lower probability,2025,957.23,875.88,1074.85,TWh/yr,93
elec_buildings,R10LATIN_AM,Latin America,C4,Below 2°C with lower probability,2030,1148.82,1002.03,1293.65,TWh/yr,99
elec_buildings,R10LATIN_AM,Latin America,C4,Below 2°C with lower probability,2035,1314.42,1139.6,1409.81,TWh/yr,96
elec_buildings,R10LATIN_AM,Latin America,C4,Below 2°C with lower probability,2040,1498.71,1264.76,1933.75,TWh/yr,102
elec_buildings,R10LATIN_AM,Latin America,C4,Below 2°C with lower probability,2045,1580.87,1344.03,1960.38,TWh/yr,96
elec_buildings,R10LATIN_AM,Latin America,C4,Below 2°C with lower probability,2050,1939.02,1459.38,2597.61,TWh/yr,102
elec_buildings,R10LATIN_AM,Latin America,C7,High-warming weak-policy (reference),2020,896.39,803.71,967.07,TWh/yr,64
elec_buildings,R10LATIN_AM,Latin America,C7,High-warming weak-policy (reference),2025,1062.15,942.86,1202.27,TWh/yr,64
elec_buildings,R10LATIN_AM,Latin America,C7,High-warming weak-policy (reference),2030,1248.06,1111.17,1422.6,TWh/yr,64
elec_buildings,R10LATIN_AM,Latin America,C7,High-warming weak-policy (reference),2035,1440.01,1312.12,1664.56,TWh/yr,64
elec_buildings,R10LATIN_AM,Latin America,C7,High-warming weak-policy (reference),2040,1663.54,1495.02,1874.99,TWh/yr,64
elec_buildings,R10LATIN_AM,Latin America,C7,High-warming weak-policy (reference),2045,1917.42,1670.95,2086.37,TWh/yr,64
elec_buildings,R10LATIN_AM,Latin America,C7,High-warming weak-policy (reference),2050,2176.7,1844.88,2354.63,TWh/yr,64
elec_buildings,R10MIDDLE_EAST,Middle East,C1,"1.5°C, no/limited overshoot",2020,972.67,904.98,977.33,TWh/yr,61
elec_buildings,R10MIDDLE_EAST,Middle East,C1,"1.5°C, no/limited overshoot",2025,1052.72,916.3,1119.35,TWh/yr,69
elec_buildings,R10MIDDLE_EAST,Middle East,C1,"1.5°C, no/limited overshoot",2030,1165.5,1033.26,1205.41,TWh/yr,69
elec_buildings,R10MIDDLE_EAST,Middle East,C1,"1.5°C, no/limited overshoot",2035,1255.28,1177.93,1481.59,TWh/yr,69
elec_buildings,R10MIDDLE_EAST,Middle East,C1,"1.5°C, no/limited overshoot",2040,1473.5,1386.53,1858.71,TWh/yr,69
elec_buildings,R10MIDDLE_EAST,Middle East,C1,"1.5°C, no/limited overshoot",2045,1870.7,1566.09,2282.19,TWh/yr,69
elec_buildings,R10MIDDLE_EAST,Middle East,C1,"1.5°C, no/limited overshoot",2050,2242.91,1730.53,3126.53,TWh/yr,69
elec_buildings,R10MIDDLE_EAST,Middle East,C2,"1.5°C, high overshoot",2020,971.99,886.01,1085.89,TWh/yr,97
elec_buildings,R10MIDDLE_EAST,Middle East,C2,"1.5°C, high overshoot",2025,1073.64,967.96,1175.7,TWh/yr,86
elec_buildings,R10MIDDLE_EAST,Middle East,C2,"1.5°C, high overshoot",2030,1297.94,1114.74,1427.66,TWh/yr,97
elec_buildings,R10MIDDLE_EAST,Middle East,C2,"1.5°C, high overshoot",2035,1347.92,1191.98,1622.2,TWh/yr,86
elec_buildings,R10MIDDLE_EAST,Middle East,C2,"1.5°C, high overshoot",2040,1599.91,1345.76,2015.92,TWh/yr,97
elec_buildings,R10MIDDLE_EAST,Middle East,C2,"1.5°C, high overshoot",2045,1862.27,1513.95,2239.29,TWh/yr,86
elec_buildings,R10MIDDLE_EAST,Middle East,C2,"1.5°C, high overshoot",2050,2359.35,1802.52,2915.33,TWh/yr,97
elec_buildings,R10MIDDLE_EAST,Middle East,C3,Likely below 2°C,2020,955.5,725.78,973.53,TWh/yr,237
elec_buildings,R10MIDDLE_EAST,Middle East,C3,Likely below 2°C,2025,1084.82,968.22,1173.88,TWh/yr,214
elec_buildings,R10MIDDLE_EAST,Middle East,C3,Likely below 2°C,2030,1248.33,1028.11,1326.2,TWh/yr,237
elec_buildings,R10MIDDLE_EAST,Middle East,C3,Likely below 2°C,2035,1354.19,1192.32,1555.24,TWh/yr,214
elec_buildings,R10MIDDLE_EAST,Middle East,C3,Likely below 2°C,2040,1442.33,1317.87,1684.33,TWh/yr,237
elec_buildings,R10MIDDLE_EAST,Middle East,C3,Likely below 2°C,2045,1713.18,1489.24,2148.13,TWh/yr,214
elec_buildings,R10MIDDLE_EAST,Middle East,C3,Likely below 2°C,2050,1975.52,1663.98,2538.19,TWh/yr,237
elec_buildings,R10MIDDLE_EAST,Middle East,C4,Below 2°C with lower probability,2020,886.01,644.48,971.99,TWh/yr,102
elec_buildings,R10MIDDLE_EAST,Middle East,C4,Below 2°C with lower probability,2025,1060.71,766.37,1219.64,TWh/yr,96
elec_buildings,R10MIDDLE_EAST,Middle East,C4,Below 2°C with lower probability,2030,1196.56,911.53,1394.51,TWh/yr,102
elec_buildings,R10MIDDLE_EAST,Middle East,C4,Below 2°C with lower probability,2035,1444.88,1011.3,1597.25,TWh/yr,96
elec_buildings,R10MIDDLE_EAST,Middle East,C4,Below 2°C with lower probability,2040,1509.37,1118.28,1845.78,TWh/yr,102
elec_buildings,R10MIDDLE_EAST,Middle East,C4,Below 2°C with lower probability,2045,1758.37,1177.36,2327.69,TWh/yr,96
elec_buildings,R10MIDDLE_EAST,Middle East,C4,Below 2°C with lower probability,2050,1917.66,1423.47,2814.94,TWh/yr,102
elec_buildings,R10MIDDLE_EAST,Middle East,C7,High-warming weak-policy (reference),2020,972.54,735.96,1001.13,TWh/yr,67
elec_buildings,R10MIDDLE_EAST,Middle East,C7,High-warming weak-policy (reference),2025,1157.17,1025.07,1226.35,TWh/yr,62
elec_buildings,R10MIDDLE_EAST,Middle East,C7,High-warming weak-policy (reference),2030,1343.84,1063.86,1437.23,TWh/yr,67
elec_buildings,R10MIDDLE_EAST,Middle East,C7,High-warming weak-policy (reference),2035,1553.86,1310.69,1829.55,TWh/yr,62
elec_buildings,R10MIDDLE_EAST,Middle East,C7,High-warming weak-policy (reference),2040,1710.6,1443.89,2017.15,TWh/yr,67
elec_buildings,R10MIDDLE_EAST,Middle East,C7,High-warming weak-policy (reference),2045,1858.01,1564.32,2536.36,TWh/yr,62
elec_buildings,R10MIDDLE_EAST,Middle East,C7,High-warming weak-policy (reference),2050,2014.83,1707.87,2735.02,TWh/yr,67
elec_buildings,R10NORTH_AM,North America,C1,"1.5°C, no/limited overshoot",2020,3381.82,3367.97,3523.86,TWh/yr,64
elec_buildings,R10NORTH_AM,North America,C1,"1.5°C, no/limited overshoot",2025,3314.39,3202.23,3612.47,TWh/yr,64
elec_buildings,R10NORTH_AM,North America,C1,"1.5°C, no/limited overshoot",2030,3570.25,3391.74,3861.07,TWh/yr,64
elec_buildings,R10NORTH_AM,North America,C1,"1.5°C, no/limited overshoot",2035,3979.35,3716.93,4218.72,TWh/yr,64
elec_buildings,R10NORTH_AM,North America,C1,"1.5°C, no/limited overshoot",2040,4362.79,3973.38,4697.88,TWh/yr,64
elec_buildings,R10NORTH_AM,North America,C1,"1.5°C, no/limited overshoot",2045,4618.41,4277.81,5043.42,TWh/yr,64
elec_buildings,R10NORTH_AM,North America,C1,"1.5°C, no/limited overshoot",2050,4828.71,4636.18,4946.36,TWh/yr,50
elec_buildings,R10NORTH_AM,North America,C2,"1.5°C, high overshoot",2020,3526.28,3376.18,3869.34,TWh/yr,96
elec_buildings,R10NORTH_AM,North America,C2,"1.5°C, high overshoot",2025,3641.39,3395.0,3734.22,TWh/yr,83
elec_buildings,R10NORTH_AM,North America,C2,"1.5°C, high overshoot",2030,3941.95,3617.41,4111.74,TWh/yr,95
elec_buildings,R10NORTH_AM,North America,C2,"1.5°C, high overshoot",2035,3965.08,3507.5,4058.46,TWh/yr,84
